City,Local Time,Weather,Temperature
Accra,20.51,Passing clouds. Warm.,26 °C
Kuala Lumpur,04.51,Passing clouds. Warm.,26 °C
Addis Ababa,23.51,Passing clouds. Cool.,16 °C
Kuwait City,23.51,Sunny. Extremely hot.,37 °C
Adelaide,07.21,Cool.,14 °C
Kyiv,23.51,Low clouds. Cool.,11 °C
Algiers,21.51,Passing clouds. Mild.,24 °C
La Paz,16.51,Partly sunny. Cool.,10 °C
Almaty,01.51,Passing clouds. Chilly.,3 °C
Lagos,21.51,Passing clouds. Warm.,27 °C
Amman,23.51,Haze. Mild.,19 °C
Lahore,01.51,Clear. Mild.,23 °C
Amsterdam,22.51,Passing clouds. Cool.,14 °C
Las Vegas,13.51,Scattered clouds. Pleasantly warm.,29 °C
Anadyr,08.51,Passing clouds. Cold.,-6 °C
Lima,15.51,Scattered clouds. Mild.,19 °C
Anchorage,12.51,Sunny. Cool.,10 °C
Lisbon,21.51,Clear. Mild.,18 °C
Ankara,23.51,Passing clouds. Cool.,10 °C
London,21.51,Overcast. Cool.,13 °C
Antananarivo,23.51,Passing clouds. Cool.,16 °C
Los Angeles,13.51,Sunny. Mild.,23 °C
Asuncion,17.51,Partly sunny. Warm.,25 °C
Madrid,22.51,Passing clouds. Mild.,20 °C
Athens,23.51,Mild.,19 °C
Managua,14.51,Passing clouds. Hot.,33 °C
Atlanta,16.51,Broken clouds. Mild.,22 °C
Manila,04.51,Overcast. Mild.,25 °C
Auckland,09.51,More clouds than sun. Mild.,18 °C
Melbourne,07.51,Sunny. Refreshingly cool.,13 °C
Baghdad,23.51,Clear. Pleasantly warm.,31 °C
Mexico City,14.51,Partly sunny. Mild.,21 °C
Bangkok,03.51,Passing clouds. Warm.,28 °C
Miami,16.51,Broken clouds. Warm.,27 °C
Barcelona,22.51,Passing clouds. Mild.,19 °C
Minneapolis,15.51,Passing clouds. Mild.,20 °C
Beijing,04.51,Clear. Cool.,10 °C
Minsk,23.51,Passing clouds. Cool.,10 °C
Beirut,23.51,Scattered clouds. Warm.,26 °C
Montevideo,17.51,Sunny. Mild.,24 °C
Belgrade,22.51,Overcast. Cool.,16 °C
Montréal,16.51,Passing clouds. Cool.,12 °C
Bengaluru,02.21,Partly cloudy. Mild.,21 °C
Moscow,23.51,Overcast. Cool.,11 °C
Berlin,22.51,Overcast. Cool.,13 °C
Mumbai,02.21,Passing clouds. Warm.,29 °C
Bogota,15.51,Scattered clouds. Mild.,19 °C
Nairobi,23.51,Scattered clouds. Mild.,24 °C
Boston,16.51,Passing clouds. Refreshingly cool.,13 °C
Nassau,16.51,Scattered showers. Scattered clouds. Warm.,28 °C
Brasilia,17.51,Passing clouds. Pleasantly warm.,31 °C
New Delhi,02.21,Fog. Mild.,22 °C
Brisbane,06.51,Cool.,19 °C
New Orleans,15.51,Sunny. Warm.,29 °C
Brussels,22.51,Overcast. Cool.,13 °C
New York,16.51,Sunny. Refreshingly cool.,14 °C
Bucharest,23.51,Fog. Cool.,12 °C
Oslo,22.51,Overcast. Cool.,12 °C
Budapest,22.51,Clear. Cool.,13 °C
Ottawa,16.51,Sunny. Cool.,11 °C
Buenos Aires,17.51,Passing clouds. Mild.,24 °C
Paris,22.51,Overcast. Cool.,15 °C
Cairo,23.51,Passing clouds. Mild.,23 °C
Perth,04.51,Passing clouds. Cool.,11 °C
Calgary,14.51,Passing clouds. Refreshingly cool.,13 °C
Philadelphia,16.51,Passing clouds. Mild.,19 °C
Canberra,07.51,Sunny. Cool.,12 °C
Phoenix,13.51,Partly sunny. Hot.,33 °C
Cape Town,22.51,Clear. Cool.,16 °C
Prague,22.51,Passing clouds. Cool.,9 °C
Caracas,16.51,Scattered clouds. Warm.,30 °C
Reykjavik,20.51,Drizzle. Low clouds. Cool.,9 °C
Casablanca,21.51,Mild.,21 °C
Rio de Janeiro,17.51,More clouds than sun. Mild.,20 °C
Chicago,15.51,Sunny. Mild.,17 °C
Riyadh,23.51,Clear. Pleasantly warm.,26 °C
Copenhagen,22.51,Partly cloudy. Cool.,13 °C
Rome,22.51,Clear. Mild.,18 °C
Dallas,15.51,Passing clouds. Warm.,31 °C
Salt Lake City,14.51,Passing clouds. Pleasantly warm.,27 °C
Dar es Salaam,23.51,Passing clouds. Warm.,25 °C
San Francisco,13.51,Partly sunny. Mild.,20 °C
Darwin,06.21,Clear. Warm.,26 °C
San Juan,16.51,Scattered clouds. Warm.,28 °C
Denver,14.51,Partly sunny. Pleasantly warm.,27 °C
San Salvador,14.51,Scattered clouds. Warm.,29 °C
Detroit,16.51,Sunny. Refreshingly cool.,16 °C
Santiago,17.51,Sunny. Pleasantly warm.,27 °C
Dhaka,02.51,Passing clouds. Warm.,27 °C
Santo Domingo,16.51,Partly sunny. Hot.,34 °C
Doha,23.51,Clear. Warm.,31 °C
São Paulo,17.51,Low clouds. Cool.,15 °C
Dubai,00.51,Clear. Warm.,31 °C
Seattle,13.51,Sunny. Cool.,16 °C
Dublin,21.51,Partly cloudy. Cool.,12 °C
Seoul,05.51,Drizzle. Mostly cloudy. Mild.,17 °C
Edmonton,14.51,Sunny. Refreshingly cool.,14 °C
Shanghai,04.51,Clear. Warm.,25 °C
Frankfurt,22.51,Clear. Cool.,9 °C
Singapore,04.51,Passing clouds. Warm.,26 °C
Guatemala City,14.51,Scattered clouds. Warm.,29 °C
Sofia,23.51,Passing clouds. Cool.,12 °C
Halifax,17.51,Partly sunny. Cool.,9 °C
St. John's,18.21,Light rain. Overcast. Cool.,16 °C
Hanoi,03.51,Fog. Warm.,26 °C
Stockholm,22.51,Partly cloudy. Cool.,11 °C
Harare,22.51,Passing clouds. Mild.,21 °C
Suva,08.51,Overcast. Mild.,22 °C
Havana,16.51,Sprinkles. Partly sunny. Warm.,27 °C
Sydney,07.51,Passing clouds. Mild.,19 °C
Helsinki,23.51,Passing clouds. Cool.,11 °C
Taipei,04.51,Passing clouds. Warm.,26 °C
Hong Kong,04.51,Passing clouds. Warm.,28 °C
Tallinn,23.51,Passing clouds. Cool.,11 °C
Honolulu,10.51,Scattered clouds. Warm.,28 °C
Tashkent,01.51,Clear. Refreshingly cool.,15 °C
Houston,15.51,Scattered clouds. Hot.,32 °C
Tegucigalpa,14.51,Thunderstorms. Scattered clouds. Warm.,30 °C
Indianapolis,16.51,Sunny. Mild.,18 °C
Tehran,00.21,Clear. Mild.,22 °C
Islamabad,01.51,Haze. Mild.,20 °C
Tokyo,05.51,Overcast. Mild.,18 °C
Istanbul,23.51,Passing clouds. Cool.,16 °C
Toronto,16.51,Sunny. Cool.,12 °C
Jakarta,03.51,Overcast. Warm.,26 °C
Vancouver,13.51,Scattered clouds. Cool.,16 °C
Jerusalem,23.51,Cool.,18 °C
Vienna,22.51,Passing clouds. Cool.,14 °C
Johannesburg,22.51,Sprinkles. Overcast. Cool.,12 °C
Warsaw,22.51,Passing clouds. Cool.,12 °C
